1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
904901,41080,3634,409,61,10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820133,66835,10902,2312,581,138,55,12,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
741772,82549,18407,5310,1757,700,266,105,54,28,8,7,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
671792,90461,24033,8492,3591,1639,807,389,230,103,59,26,16,16,3,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
609227,92185,28046,11389,5316,2778,1569,889,539,283,221,125,90,49,41,23,21,13,5,1,3,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
552244,90954,30182,13243,6860,3685,2319,1481,960,689,467,335,216,172,99,99,63,40,40,22,35,15,4,8,5,5,2,2,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
498632,87296,30648,14166,7773,4808,2938,2060,1470,1008,838,560,460,329,268,198,163,125,107,69,73,40,38,44,29,20,15,12,11,10,6,6,7,2,4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451501,82455,29988,14397,8194,5114,3383,2473,1799,1354,1038,795,684,555,461,325,303,262,194,176,152,132,112,83,84,51,57,58,30,31,24,30,17,14,7,9,8,12,3,5,8,3,3,2,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407309,76293,27816,14035,8165,5280,3625,2582,1946,1538,1177,1022,788,791,569,485,432,377,299,259,240,230,207,176,178,142,128,109,100,87,91,81,53,55,34,45,34,42,25,23,17,18,20,18,9,8,2,5,7,5,6,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369562,68591,25803,12963,7705,4901,3503,2524,1954,1549,1259,1039,873,791,615,595,463,432,402,373,347,270,288,277,235,228,190,204,180,152,157,120,132,127,127,98,75,99,87,85,73,63,56,41,40,40,29,27,21,22,6,10,8,18,5,5,3,6,3,3,1,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334763,62529,23451,11810,6839,4511,3131,2331,1808,1438,1137,999,853,698,678,553,518,463,399,380,365,370,303,276,279,272,252,247,247,228,206,223,193,185,164,183,128,145,149,127,117,105,117,110,100,95,81,60,73,65,52,53,44,35,35,34,25,23,17,8,16,12,6,0,6,7,2,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302571,55644,20889,10386,5964,4030,2679,2006,1655,1278,985,879,650,617,571,478,453,414,365,361,353,312,317,311,279,250,240,218,208,230,234,219,213,231,219,198,199,231,196,193,182,180,183,183,134,168,147,164,132,126,132,109,112,103,85,95,81,61,70,53,39,33,38,34,22,11,17,16,9,9,6,6,3,2,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273772,49324,18198,8829,5083,3227,2290,1658,1230,968,791,654,561,483,432,392,353,318,276,271,249,225,242,214,238,205,201,193,212,220,213,214,205,230,174,192,215,176,206,202,213,237,191,231,227,215,210,208,230,224,184,186,184,176,173,188,168,132,129,144,127,140,112,84,68,65,49,53,41,28,25,29,15,17,12,6,3,7,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
